seller_ID;seller_name;type;member_since;country;address
80;pisqnek;Professional;2009;Poland;Gen. Wl. Andersa 38, 7 pietro, 15-113 Bialystok, Poland
81;Goodlookgamer;Professional;2018;Netherlands;Maarland Noordzijde 7, 3231CE Brielle, Netherlands
82;TopdeckDK;Professional;2016;Denmark;Carlsbergvej 32B, 3400 Hiller�d, Denmark
83;sedehiMTG;Private;2011;Germany;
84;Magiccardshop;Powerseller;2014;Germany;L�ssweg 10, 82418 Murnau, Germany
85;TCGWarehouse;Professional;2013;Germany;Gutenbergplatz 1, 04103 Leipzig, Germany
86;helpoemer;Private;2015;Germany;
87;Nerd-Shop;Professional;2017;Germany;Kaiserstra�e 50, 66849 Landstuhl, Germany
88;Andycards;Professional;2014;Italy;Viale dei Navigatori 4/a, 48122 Punta Marina Terme (RA), Italy
89;wei�er-Lotus;Professional;2009;Germany;Friedhofsweg 18, 61197 Florstadt, Germany
90;sanjic;Private;2012;France;
91;MagusDoVinhedo;Private;2012;Portugal;
92;Wintereinbruch;Private;2010;Germany;
93;Kissmaiass;Private;2014;Spain;
94;thewirtschaftswunder;Private;2015;Germany;
95;Blackbolt;Professional;2012;Portugal;Rua da Juncosa 228, 3465-123 Tondela, Portugal
96;aleplm98;Private;2019;Italy;
97;GoodPool;Private;2019;Spain;
98;Foransa;Private;2019;Sweden;
99;PanBzoch;Private;2016;Czech Republic;
100;Colabier;Private;2012;Germany;
101;moneymaker;Private;2011;Germany;
102;Noah471;Private;2019;Austria;
103;Cohnjollins;Private;2015;Ireland;
104;LeonPonce;Private;2014;Spain;
105;sytsnas;Private;2019;Germany;
106;noisia;Private;2015;Spain;
107;Greenskull;Private;2018;Sweden;
108;Danedeluxe;Private;2017;Denmark;
109;babylon;Private;2014;Germany;
110;McFreud;Private;2015;Portugal;
111;muse99;Private;2013;Netherlands;
112;Bellota95;Private;2019;Spain;
113;BBG66;Private;2021;Germany;
114;Marsupisalami;Private;2016;Germany;
115;Murasame;Private;2015;Netherlands;
116;cardvictim;Private;2020;Germany;
117;atlas222;Private;2018;Austria;
118;Torako;Private;2016;Germany;
119;cloudpostBA;Powerseller;2015;Slovakia;Trencianska 47, 82109 Bratislava, Slovakia
120;bouzekry;Private;2010;France;
121;Hgjlesv;Private;2017;Finland;
122;stahlkarnickel2;Professional;2018;Germany;Ernst-Reuter Stra�e 10, 97080 W�rzburg, Germany
123;TimD;Private;2009;Germany;
124;PowerMagicstar;Professional;2021;Sweden;Tullgatan 2c, 25269 R��, Sweden
125;kartenschmiede;Powerseller;2015;Germany;Rote-Tor-Str. 18, 76661 Philippsburg, Germany
126;theNecromancer;Professional;2019;Austria;Oberer Ulmenweg 8a, 8073 Feldkirchen bei Graz, Austria
127;wei�er-Lotus;Professional;2009;Germany;Friedhofsweg 18, 61197 Florstadt, Germany
128;mstokowski;Private;2013;Poland;
129;huge4uk;Private;2016;Germany;
130;Sebas74;Private;2017;Netherlands;
131;ManaRamp;Private;2020;Italy;
132;Piranha81;Private;2019;Spain;
133;daltenda;Powerseller;2016;Italy;Via dell'Artigianato 54 - Zona Industriale Ovest, 06083 Bastia Umbra (PG), Italy
134;AvalonBurgos;Professional;2012;Spain;C/ San Julian 4 Bj, 09002 Burgos, Spain
135;LuisLlana;Private;2013;Spain;
136;SK4TE;Private;2011;Germany;
137;olgamor;Private;2011;Germany;
138;marCH1LLL;Private;2015;Germany;
139;ni-ju66;Private;2016;Germany;
140;baleinedessables;Private;2012;Belgium;
141;rakerone;Private;2013;Germany;
142;Jack-DM;Private;2019;Italy;
143;Glimrir;Private;2018;Denmark;
144;ViperKinji;Private;2013;Greece;
145;octaton;Private;2015;Denmark;
146;TerraCross;Private;2016;Germany;
147;Zigimun;Private;2015;Slovenia;
148;TheOneKiko1337;Private;2018;Germany;
149;PotatoGuardian;Private;2015;Germany;
150;Dr4ken;Private;2018;Poland;
151;Leidnix;Private;2011;Germany;
152;Netz122;Private;2009;Germany;
153;changar;Private;2012;France;
154;NechljudoW;Private;2013;Germany;
155;Phalnar;Private;2015;Switzerland;
156;Ginsch;Private;2020;Austria;
157;annor;Private;2018;Czech Republic;
158;Meister14;Private;2017;Spain;
159;Pastorius84;Private;2020;Italy;
160;Cardboard-Collector;Private;2020;Netherlands;
161;coupdegrac3;Private;2018;Austria;
162;ryuxuyr;Private;2019;Portugal;
163;jeh11;Private;2018;Switzerland;
164;MTGSander;Private;2017;Netherlands;
165;Xevkin;Private;2012;Ireland;
166;Sushi91;Private;2016;Czech Republic;
167;Plysier;Private;2019;Belgium;
168;jmskns69;Professional;2018;Estonia;Siili 3-8, 13422 Tallinn, Estonia
169;procrustean;Private;2013;United Kingdom;
170;DiamondValley;Private;2009;Germany;
171;magicislove;Private;2019;Germany;
172;Operationlol;Private;2018;Germany;
173;Piszczal;Private;2015;Poland;
174;Almeida;Private;2017;Sweden;
175;sinac;Private;2011;Belgium;
176;Bennlipp;Private;2019;Germany;
177;AcidQueen;Private;2019;Greece;
178;Remin;Private;2017;Germany;
179;Wimmeeus;Private;2019;Belgium;
180;Orzi86;Private;2017;Poland;
181;moercel;Private;2015;Germany;
182;Chrisaor;Private;2015;Greece;
183;Luukiecard;Private;2017;Netherlands;
184;SodGames;Professional;2015;Belgium;Place Albert 1er 32, 6220 Fleurus, Belgium
185;rammstein-rules97;Professional;2016;Germany;Conrad-R�ntgen Str. 3, 66450 Bexbach, Germany
186;ZackyVeah;Private;2016;Germany;
187;nikee40;Private;2015;Latvia;
188;emanuelemarket;Private;2019;Italy;
189;temur11;Private;2016;France;
190;daxterpac;Private;2017;Portugal;
191;Weini17;Private;2017;Austria;
192;Lunashine;Private;2009;Austria;
193;La-Tetedeslip;Private;2018;France;
194;kirchi;Private;2009;Germany;
195;Michaberg;Private;2018;Germany;
196;MagicMuc;Private;2019;Germany;
197;SnappyTiger;Private;2019;Austria;
198;Krozark;Private;2014;France;
199;RisingVoid;Private;2018;Germany;
200;Mathug;Private;2017;France;
201;InfiniteMagicCZ;Professional;2019;Czech Republic;Kafkova 102/19, 16000 Prague 6, Czech Republic
202;Villy;Private;2017;Greece;
203;Rarehuntershop;Powerseller;2012;Austria;Hauptplatz 14, 2320 Schwechat, Austria
204;tshwayn;Private;2016;Germany;
205;sunshadow;Private;2013;Spain;
206;Kartenguru;Professional;2012;Germany;Hollenmoor 9, 21406 Melbeck, Germany
207;MagicBarcelona;Powerseller;2011;Spain;Ronda de Sant Pere 44, 08010 Barcelona, Spain
208;TEMPEST-STORE;Powerseller;2011;Spain;CALLE TIMOTEO DOMINGO, 17, LOCAL, 28017 Madrid, Spain
209;HouseOfCardsBE;Professional;2014;Belgium;Geraardsbergsesteenweg 282, 9404 Aspelare, Belgium
210;Izmaylov;Private;2013;France;
211;Miki13112;Private;2018;France;
212;szernik;Private;2015;Germany;
213;Bokkie-Brown;Private;2013;Netherlands;
214;Blizardjack;Private;2014;Greece;
215;ShopHunter;Professional;2017;France;16 Rue Roger Tilmant, 59164 Marpent, France
216;zbysour;Private;2014;Czech Republic;
217;stardust76;Private;2017;France;
218;mary;Private;2008;Germany;
219;dbs85670;Professional;2018;France;HAMEAU DU CHATELIER 12, 85670 85670 - PALLUAU, France
220;SamTradeOfficial;Private;2020;Italy;
221;sjoerd972;Private;2016;Netherlands;
222;EternitiesCrafter;Private;2019;France;
223;MarmotteAilee;Private;2019;France;
224;flo2000;Private;2009;Germany;
225;Xobulo;Professional;2021;United Kingdom;51 Stamford Street, NG16 2DR Nottingham, United Kingdom
226;GreenZebra;Private;2020;Germany;
227;JSminia;Private;2018;Netherlands;
228;Orkboss;Private;2016;Germany;
229;ray17;Private;2012;Spain;
230;Blipblep;Private;2019;Slovenia;
231;LOLHasixD;Private;2020;Germany;
232;ItsFranchetti;Private;2021;United Kingdom;
233;danielito;Private;2010;Spain;
234;Kauppiasfoppa;Private;2016;Finland;
235;VarusEquin;Private;2014;France;
236;Kraias;Private;2016;Germany;
237;mtg-discounter24;Powerseller;2015;Germany;Fischbachstra�e 36, 50127 Bergheim, Germany
238;remyleblanc;Private;2015;Netherlands;
239;Griselbrand3;Private;2018;Germany;
240;sjimmied;Private;2017;Netherlands;
241;KaffTCG;Private;2021;Austria;
242;Navis;Private;2011;France;
243;pg7224;Private;2015;Germany;
244;rambo-tomella;Private;2012;Spain;
245;Papillon80;Private;2018;France;
246;Sinici1992;Private;2012;Spain;
247;WindyMiller;Private;2017;United Kingdom;
248;OjamaGod;Private;2017;Germany;
249;Serial1981;Private;2019;Italy;
250;cole04;Private;2013;United Kingdom;
251;hammen22;Private;2018;Italy;
252;DrTim0n;Private;2015;Netherlands;
253;YoungRighty;Private;2015;Germany;
254;Kizuso;Private;2017;Germany;
255;Trolloloman;Private;2019;Poland;
256;exodus360;Private;2017;Spain;
257;PetalmaneBaku;Private;2015;Finland;
258;neonamu;Private;2016;Spain;
259;TomFreud;Private;2018;Germany;
260;SonJoku;Private;2016;Germany;
261;TheWolverine;Private;2021;Spain;
262;MartinHuber;Private;2013;Germany;
263;invokeprejudice;Private;2012;Italy;
264;kikofarto3;Private;2019;Portugal;
265;AceMagicDealer;Professional;2012;Spain;Lope De Vega N�20 - 4�D, 34001 Palencia, Spain
266;Diogenes;Private;2017;Greece;
267;Nomar;Private;2017;Spain;
268;patraspatras22;Private;2017;Spain;
269;termestino;Private;2010;Spain;
270;scaveooz;Private;2014;France;
271;CrazyComicsAndGames;Professional;2011;Italy;Via Medaglie d'Oro 8, 21100 Varese, Italy
272;berjackie;Private;2015;France;
273;AVATAR-PL;Professional;2017;Poland;
274;MagicNexus;Professional;2014;Italy;Via Padana Superiore 27, 20060 Gessate (MI), Italy
275;weißer-Lotus;Professional;2009;Germany;Friedhofsweg 18, 61197 Florstadt, Germany
276;DavidRuemmler;Professional;2015;Germany;Georg-Palitzsch-Straße, 17, 01239 Dresden, Germany
277;Elbarone;Private;2016;Switzerland;
278;brice464;Private;2014;France;
279;tratmot;Private;2016;Italy;
280;JYZ83;Private;2011;Italy;
281;Olaaf;Private;2010;Belgium;
282;Selick;Private;2018;Belgium;
283;TroleDeJeux;Professional;2015;France;5 Rue Saint Luc, 36000 Châteauroux, France
284;DisCardShop;Professional;2019;Italy;Via Moar zu Pirk 6, 39030 Lutago (BZ), Italy
285;Playset4;Private;2017;Spain;
286;panos1989;Private;2015;Greece;
287;wizardshark;Private;2017;France;
288;Chief92;Private;2014;Germany;
289;Tylert;Private;2012;France;
290;Mariano79;Private;2016;Italy;
291;JOMEIS12;Private;2017;Spain;
292;MettMann;Private;2016;Germany;
293;zeusucao;Private;2013;Portugal;
294;Michael8901;Private;2018;Italy;
295;SaprolinVerde;Private;2012;Spain;
296;cryog;Private;2019;Switzerland;
297;Halo2001;Private;2016;Germany;
298;Tron116;Private;2008;Germany;
299;Bladewing89;Private;2016;Germany;
300;RCTycooner;Private;2013;Belgium;
301;Berggeit;Private;2016;Netherlands;
302;JKappel;Private;2017;Germany;
303;Recode;Private;2018;France;
304;Mintcardgem;Private;2019;France;
305;Hubbelluff;Private;2018;Germany;
306;Pukete;Private;2019;Spain;
307;MemoRator;Private;2018;Italy;
308;Aymerix;Private;2014;France;
309;Farbtopf12;Private;2021;Germany;
310;Maumoleseullevrai;Private;2015;France;
311;MasterLaky;Private;2018;Italy;
312;ultimatewarrior;Private;2017;Italy;
313;ZadeX;Private;2015;Belgium;
314;Celine91;Private;2018;France;
315;Remix91;Private;2015;France;
316;bjarnizzle;Private;2018;Germany;
317;Ocinvd;Private;2018;Belgium;
318;erojudge;Private;2014;Germany;
319;maeviouz;Professional;2013;Greece;Sp. Trikoupi 80-82, 18538 Piraeus, Greece
320;AldoNala;Private;2017;Belgium;
321;Mtg4All;Professional;2017;Spain;Calle Oliver nº54 b Local, 03802 Alcoy, Spain
322;indru;Private;2013;Romania;
323;akroma2008;Private;2012;Switzerland;
324;Zuerichsee;Private;2018;Switzerland;
325;grichi26;Private;2009;Austria;
326;luciano38;Private;2016;France;
327;EPShin18;Professional;2018;Spain;Calle Camino de los Romanos 56, 30820 Alcantarilla, Spain
328;mcout;Private;2013;Germany;
329;BloodReaver;Private;2013;Germany;
330;CITADEL-GAMES;Private;2012;Spain;
331;holzvalle;Private;2018;Germany;
332;CommanderFluffly;Private;2014;Germany;
333;EnglishTiger;Private;2020;Germany;
334;benprdh;Private;2020;France;
335;Tokhart;Private;2021;France;
336;dikkedaan;Private;2014;Netherlands;
337;Gemini56;Private;2019;Italy;
338;hael22;Private;2017;France;
339;ViolettBlue;Private;2020;Germany;
340;Distritozero;Powerseller;2018;Spain;Alonso 15, 39010 Santander, Spain
341;ilGiocoliere;Powerseller;2012;Italy;Via Di Toppo 28, 33100 Udine, Italy
342;Psiakowy;Professional;2015;Poland;Suraska 6/38, 15-422 Bialystok, Poland
343;CardwalletEU;Professional;2019;Belgium;Laan, 2930 Brasschaat, Belgium
344;Gferro;Private;2014;Portugal;
345;cassper;Private;2014;Spain;
346;caceres2020;Professional;2016;Netherlands;Stuiverstraat 1N, 5611TA Eindhoven, Netherlands
347;Dixitier;Private;2014;Germany;
348;MBrinch;Private;2015;Denmark;
349;Mic3hael;Private;2018;Germany;
350;SimonJack88;Private;2018;Italy;
351;JohnWizard;Private;2020;Greece;
352;CardStoreAlcamo;Professional;2016;Italy;Via Pugliesi N.66, 91011 Alcamo (TP), Italy
353;Brenag;Private;2012;Belgium;
354;Magicdealer-patte-de;Powerseller;2008;Germany;Landgrabenstraße 121 (Im Innenhof), 90459 Nürnberg, Germany
355;Magicshop2000;Private;2016;Italy;
356;Kartenkoenig;Private;2013;Germany;
357;Zaki23;Private;2015;Greece;
358;kfranklin12;Private;2016;Germany;
359;hespacc;Private;2008;Germany;
360;Mirrankreuzritter;Private;2018;Germany;
361;matiasgabarron;Private;2015;Spain;
362;HiveGames;Powerseller;2013;Austria;Getreidegasse 3, 9020 Klagenfurt, Austria
363;Athabasca;Private;2015;Belgium;
364;Twoshop;Professional;2015;Spain;C/ Gavilanes 1, B1, P2, 1D, 28035 Madrid, Spain
365;DHGames;Professional;2011;Finland;Itsenäisyydenkatu 38a C 22, 28130 Pori, Finland
366;ishotya;Private;2014;Spain;
367;DagonX;Private;2011;Germany;
368;landshome279;Private;2012;Germany;
369;satirobcn;Private;2012;Spain;
370;Bigs77;Private;2018;Germany;
371;gambo;Private;2015;Germany;
372;stamosm;Private;2015;Greece;
373;Bruce7506;Private;2016;France;
374;AdrianMC;Private;2021;Spain;
375;Skiski;Private;2018;Luxembourg;
376;rockardist;Private;2018;Netherlands;
377;DrDkt666;Private;2013;Portugal;
378;Zoios;Private;2016;Poland;
379;Kuduce;Private;2019;Germany;
380;Mavado-Vemos;Private;2021;Poland;
381;Colovia;Private;2019;Germany;
382;K40crew;Private;2015;Denmark;
383;michaldurovic;Private;2018;Slovakia;
384;Muttonium;Private;2017;Sweden;
385;Adway;Private;2018;Poland;
386;Carioca9987;Private;2017;Spain;
387;maxsilver;Private;2014;Austria;
388;pbjoker;Private;2017;Croatia;
389;Ghostlo;Professional;2014;Belgium;161, boulevard Lambermont, 1030 Schaerbeek, Belgium
390;Abdelbach;Private;2017;Switzerland;
391;heckman;Private;2019;Netherlands;
392;Zloch;Private;2018;Slovakia;
393;deathhenker;Private;2008;Germany;
394;OutpostBrussels;Powerseller;2011;Belgium;8 rue de la tribune, 1000 BRUXELLES, Belgium
395;Zakk67;Private;2019;France;
396;zalakke;Private;2012;Finland;
397;CardCastle;Professional;2012;Austria;Kirschentheuer 51, 9162 Strau, Austria
398;Moltras;Professional;2014;Hungary;Ybl Miklós út 3/a Tetőtér 1., 7633 Pécs, Hungary
399;masa;Private;2010;Finland;
400;roughy;Private;2016;Netherlands;
401;cornelius59;Private;2018;France;
402;seagel;Private;2018;Netherlands;
403;D-Insane;Private;2019;France;
404;elliot1990pl;Private;2017;Poland;
405;evertk;Private;2018;Netherlands;
406;matic;Private;2015;Slovenia;
407;dommedag;Private;2015;France;
408;Quilombero;Private;2010;Germany;
409;TizziTizzi;Private;2021;Italy;
410;leonin;Private;2011;Belgium;
411;Lorena;Private;2015;Spain;
412;JJ-Finkleton;Private;2018;Netherlands;
413;Boromol;Private;2017;Germany;
414;flosiii;Private;2015;Germany;
415;jerome34;Private;2014;France;
416;punkboy48;Private;2019;Germany;
417;MagicTradeHouseNo1;Powerseller;2013;Germany;Nelkenstr.15, 90547 Stein, Germany
418;DavidxRodx;Private;2016;Portugal;
419;NicoDN;Private;2020;France;
420;Strat066;Private;2014;Germany;
421;ClemFr;Private;2013;France;
422;MaxiM87;Private;2019;Germany;
423;Sadquatch;Private;2019;Switzerland;
424;Games-Island;Powerseller;2008;Germany;Luitpoldstrasse 13, 95028 Hof, Germany
425;Mazvigosl;Powerseller;2010;Spain;C/ Zamora 65 Bajo, 36203 Vigo, Spain
426;DonMTG;Powerseller;2014;Germany;Lindenstr. 14, 50674 Köln, Germany
427;das-Marmak;Professional;2009;Switzerland;Glasacker 3, 4657 Dulliken, Switzerland
428;Rusty2410;Powerseller;2015;Germany;Wilhelmsweg 2c, 39249 Barby/ Elbe , Germany
429;tuvok85;Private;2011;Germany;
430;Jurgencreyf;Private;2018;Belgium;
431;LotusGarden;Professional;2008;Spain;C/Aurora 90E, 3º2ª, 08700 Igualada, Spain
432;buchanin;Private;2019;Germany;
433;gabrielooos93;Private;2020;Italy;
434;MishrasCardshop;Private;2013;Netherlands;
435;MrclBok;Private;2020;Netherlands;
436;JSRM88;Private;2021;United Kingdom;
437;The-Inn-TCG;Professional;2019;Germany;Erich-Mühsam-Straße 8, 09112 Chemnitz, Germany
438;MagicEmporium;Professional;2015;Netherlands;Rembrandtlaan, 7, 3362AC SLIEDRECHT, Netherlands
439;Harakesh;Professional;2013;Netherlands;Meindert Hobbemastraat 1, 3314HR Dordrecht, Netherlands
440;DrawstepGD;Professional;2013;Portugal;Rua da Fundação Calouste Gulbenkian n91, 4710-394 Braga, Portugal
441;magictuga;Professional;2013;Portugal;Apartado 163, 4564-909 Penafiel, Portugal
442;Igibert;Private;2015;Austria;
443;pl0wbeast;Private;2014;Belgium;
444;Moria05;Professional;2013;Spain;C/Tirso de Molina, 8-10 Bajo, 26006 Logroño, Spain
445;FKTRD;Powerseller;2011;Germany;Ostenhellweg 57-59, 44135 Dortmund, Germany
446;PlayTimeComo;Professional;2016;Italy;Via Volta 27/29, 22100 Como, Italy
447;Grecutus;Private;2008;Germany;
448;kreaten;Private;2011;Spain;
449;HeinerBremer;Private;2013;Germany;
450;WizardshopCz;Powerseller;2013;Czech Republic;Na Jarove 2424/2, 13000 Praha, Czech Republic
451;Wildfirestore;Professional;2017;Italy;Via Della Fonte Meravigliosa 64, 00143 Roma, Italy
452;Zebratus;Private;2011;Germany;
453;willybizarre;Powerseller;2010;Spain;Apartado de correos 72, 46110 Godella, Valencia, Spain
454;Outpostgamecenter;Powerseller;2011;Belgium;Beggaardenstraat 6, 2000 Antwerp, Belgium
455;Galactus-Roma;Powerseller;2012;Italy;Via Alessandro Malladra 16, 00157 Roma, Italy
456;CardsMania;Powerseller;2015;Italy;Via Flaminia Conca, 51, 47923 Rimini, Italy
457;CARAB;Powerseller;2011;Switzerland;Bruchstrasse 43, 6003 Luzern, Switzerland
458;magiccorner;Professional;2016;Italy;Via Claudia Augusta 76/C, 39100 Bolzano, Italy
459;DRAGONCT;Powerseller;2011;Spain;Calle Tierno Galvan, 15 Bajo, Tienda DragonCT, 30203 Cartagena, Spain
460;Metropolis-Center;Powerseller;2010;Spain;C/ Andres Mellado Nº 22 Local, 28015 Madrid, Spain
461;NobleGarden;Powerseller;2017;Austria;Zehnergasse 20 A, Stiege 1, A35, 2700 Wiener Neustadt, Austria
462;Skaldenmagie;Professional;2018;Switzerland;Chrüzweg 21, 5603 Staufen, Switzerland
463;Bjiarni;Private;2015;Switzerland;
464;Goshar;Private;2019;Germany;
465;Kuldotha-Bazaar;Professional;2012;Italy;VIA ASSAROTTI 26/ROSSO, 16122 GENOVA, Italy
466;Nightshade-Shop;Professional;2015;Germany;Landfermannstraße 9, 47051 Duisburg, Germany
467;PlaceOfGeek;Professional;2017;France;16 rue Limogeanne, 24000 PERIGUEUX, France
468;LotusVale-Bochum;Professional;2019;Germany;Herner Straße 7, 44787 Bochum, Germany
469;Deprolloneon;Private;2017;Germany;
470;zarcenas;Private;2016;Portugal;
471;DoozEscape;Professional;2019;France;12 et 19 rue des magasins, 67000 strasbourg, France
472;Baldur82;Private;2020;Switzerland;
473;delmas;Private;2018;Italy;
474;TolarianBrewAcademy;Private;2018;United Kingdom;
475;TCG-entertainment;Powerseller;2019;Germany;Rathausstr. 16, 01773 Altenberg, Germany
476;DragonReikaiGames;Professional;2019;Austria;Hirschstettner Strasse 19, 1220 Vienna, Austria
477;JM123;Private;2021;United Kingdom;
478;normans;Private;2014;Germany;
479;Gunship-Games;Powerseller;2009;Germany;Wippenhauser Str. 26, 85354 Freising, Germany
480;jokerbovisa;Professional;2011;Italy;Via Candiani 7/a, 20158 Milano, Italy
481;Playin;Powerseller;2009;France;131 Avenue de France, 75013 PARIS, France
482;House-of-Games;Professional;2011;Greece;Aspasias 72-74, Holargos, 15561 Athens, Greece
483;karmacrow;Powerseller;2007;Germany;Saalmannstr. 7-9, 13403 Berlin, Germany
484;BB-Spiele;Powerseller;2008;Germany;Ebersberger Str. 19 (2. Stock über Miedl), 83022 Rosenheim, Germany
485;SpielRaum;Powerseller;2009;Austria;Otto Bauer Gasse 17, 1060 Wien, Austria
486;SVKZeke;Private;2016;Slovakia;
487;AboveGodlike;Private;2017;Denmark;
488;webuyanycard;Professional;2019;United Kingdom;41 Fenton Avenue, TW181DD Staines, United Kingdom
489;Kiki237;Private;2016;Italy;
490;Antonius;Private;2014;Italy;
491;LPPCOLLECTING-IT-SRL;Powerseller;2013;Italy;Via Belvedere, 23, 20862 Arcore (MB), Italy
492;toycastle;Professional;2016;Austria;Kirschentheuer 51, 9162 Strau, Austria
493;TimeaB;Private;2015;Romania;
494;martial-alters;Private;2017;France;
495;Ex0rcist;Private;2014;Finland;
496;nicororix;Private;2017;France;
497;petedk;Private;2018;Denmark;
498;Rhaegar-LR;Private;2017;France;
499;Benben78;Private;2013;Netherlands;
500;kevkev;Private;2013;France;
501;jeristy;Private;2017;France;
502;N3B3L;Private;2016;Germany;
503;oschulte;Private;2010;Germany;
504;Theuderich;Private;2015;Germany;
505;GobboDealer;Private;2014;Germany;
506;Nihili;Private;2010;Austria;
507;Lighting;Private;2011;Poland;
508;helldanno;Private;2015;Germany;
509;Akroma1987;Private;2015;Croatia;
510;Jacob8800;Private;2018;Denmark;
511;Muskatnuss6;Private;2016;Austria;
512;SpecialOne28;Private;2016;Switzerland;
513;alfredjkwak;Private;2017;Germany;
514;Iscalia;Private;2019;Germany;
515;Belkeen;Private;2019;France;
516;NickyBluepants;Private;2020;Germany;
517;Trudlo;Private;2018;Germany;
518;Mtg-volos;Private;2017;Greece;
519;Madveek;Private;2016;France;
520;ggmagic;Professional;2015;Netherlands;Concordiastraat 29, 2406XX Alphen Aan Den Rijn, Netherlands
521;Geeksandgamers;Professional;2020;United Kingdom;47 High Street, FK11ES Falkirk, United Kingdom
522;KrayBoul;Private;2019;Germany;
523;JoeyMoey;Private;2016;Germany;
524;daktylus75;Professional;2007;Germany;Tilsiterstraße 94, 45470 Mülheim Ruhr, Germany
525;mattopul;Private;2019;Austria;
526;Cypress;Private;2013;Germany;
527;LorenzMatterhorn;Private;2016;Germany;
528;RFD94;Private;2016;Belgium;
529;cernyrytir;Powerseller;2011;Germany;Rathausstr. 16, 01773 Altenberg, Germany
530;Hobby-Games;Powerseller;2012;Greece;Theohari 4, 54621 Thessaloniki, Greece
531;elrincondelhobby;Professional;2010;Spain;c/ Valencia 497 Entlo 4, 08013 Barcelona, Spain
532;JoeBuddha;Private;2008;Germany;
533;NEMESIS23180;Private;2014;Spain;
534;Alexander1907;Private;2015;Spain;
535;LudoB;Private;2015;France;
536;Meistermeuchler;Private;2008;Germany;
537;Bestialos;Private;2017;France;
538;Hellcat;Private;2012;Germany;
